date,STATION,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,positive,negative,hospitalizedCurrently,death,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,Case rate per day in %,threat level
2020-04-20,USW00024141,8.05,0.0,0.0,0.0,59.0,74.0,40.0,310.0,310.0,25.1,30.0,12787,147663,403.0,629,160450,14,0,4350,326.0,4676.0,6.97,SAFE
2020-04-20,USW00024233,6.04,0.0,0.0,0.0,55.0,67.0,45.0,220.0,230.0,14.1,18.1,12787,147663,403.0,629,160450,14,0,4350,326.0,4676.0,6.97,SAFE
2020-04-20,USW00024243,6.71,0.0,0.0,0.0,59.0,77.0,38.0,320.0,320.0,19.9,25.9,12787,147663,403.0,629,160450,14,0,4350,326.0,4676.0,6.97,SAFE
2020-04-20,USW00024157,6.26,0.0,0.0,0.0,55.0,68.0,42.0,230.0,230.0,15.0,19.0,12787,147663,403.0,629,160450,14,0,4350,326.0,4676.0,6.97,SAFE
2020-04-21,USW00024227,6.04,0.0,0.0,0.0,52.0,59.0,39.0,240.0,220.0,13.0,17.0,13051,152469,503.0,640,165520,11,0,4806,264.0,5070.0,5.21,SAFE
2020-04-21,USW00094240,5.82,0.01,0.0,0.0,51.0,59.0,47.0,220.0,220.0,16.1,19.9,13051,152469,503.0,640,165520,11,0,4806,264.0,5070.0,5.21,SAFE
2020-04-21,USW00094119,9.84,0.0,0.0,0.0,50.0,68.0,31.0,240.0,240.0,21.9,32.0,13051,152469,503.0,640,165520,11,0,4806,264.0,5070.0,5.21,SAFE
2020-04-21,USW00024141,11.18,0.0,0.0,0.0,61.0,73.0,44.0,290.0,300.0,25.1,32.0,13051,152469,503.0,640,165520,11,0,4806,264.0,5070.0,5.21,SAFE
2020-04-21,USW00024233,9.17,0.0,0.0,0.0,53.0,58.0,47.0,190.0,210.0,18.1,23.0,13051,152469,503.0,640,165520,11,0,4806,264.0,5070.0,5.21,SAFE
2020-04-21,USW00024243,8.05,0.0,0.0,0.0,62.0,73.0,40.0,280.0,270.0,23.0,28.0,13051,152469,503.0,640,165520,11,0,4806,264.0,5070.0,5.21,SAFE
2020-04-21,USW00024157,13.65,0.0,0.0,0.0,55.0,66.0,42.0,220.0,220.0,23.9,32.0,13051,152469,503.0,640,165520,11,0,4806,264.0,5070.0,5.21,SAFE
2020-04-22,USW00024227,6.04,0.44,0.0,0.0,48.0,54.0,38.0,230.0,180.0,14.1,19.0,13328,157438,543.0,647,170766,7,0,4969,277.0,5246.0,5.28,SAFE
2020-04-22,USW00094240,4.92,1.04,0.0,0.0,49.0,54.0,47.0,200.0,200.0,10.1,14.1,13328,157438,543.0,647,170766,7,0,4969,277.0,5246.0,5.28,SAFE
2020-04-22,USW00094119,6.26,0.23,0.0,0.0,49.0,56.0,37.0,210.0,170.0,18.1,23.0,13328,157438,543.0,647,170766,7,0,4969,277.0,5246.0,5.28,SAFE
2020-04-22,USW00024141,3.58,0.07,0.0,0.0,53.0,56.0,40.0,210.0,120.0,12.1,14.1,13328,157438,543.0,647,170766,7,0,4969,277.0,5246.0,5.28,SAFE
2020-04-22,USW00024233,5.82,0.5,0.0,0.0,52.0,54.0,49.0,220.0,220.0,16.1,21.0,13328,157438,543.0,647,170766,7,0,4969,277.0,5246.0,5.28,SAFE
2020-04-22,USW00024243,4.7,0.06,0.0,0.0,53.0,65.0,41.0,330.0,300.0,17.0,23.0,13328,157438,543.0,647,170766,7,0,4969,277.0,5246.0,5.28,SAFE
2020-04-22,USW00024157,10.51,0.15,0.0,0.0,50.0,54.0,40.0,210.0,190.0,19.9,25.9,13328,157438,543.0,647,170766,7,0,4969,277.0,5246.0,5.28,SAFE
2020-04-23,USW00024227,9.4,0.01,0.0,0.0,52.0,62.0,45.0,240.0,260.0,19.9,23.0,13589,162598,544.0,654,176187,7,0,5160,261.0,5421.0,4.81,SAFE
2020-04-23,USW00094240,4.47,0.04,0.0,0.0,49.0,57.0,46.0,250.0,200.0,12.1,17.0,13589,162598,544.0,654,176187,7,0,5160,261.0,5421.0,4.81,SAFE
2020-04-23,USW00094119,4.92,0.01,0.0,0.0,47.0,61.0,34.0,230.0,250.0,18.1,25.1,13589,162598,544.0,654,176187,7,0,5160,261.0,5421.0,4.81,SAFE
2020-04-23,USW00024141,10.51,0.0,0.0,0.0,55.0,70.0,44.0,280.0,300.0,25.9,32.0,13589,162598,544.0,654,176187,7,0,5160,261.0,5421.0,4.81,SAFE
2020-04-23,USW00024233,8.5,0.3,0.0,0.0,52.0,59.0,48.0,210.0,150.0,14.1,16.1,13589,162598,544.0,654,176187,7,0,5160,261.0,5421.0,4.81,SAFE
2020-04-23,USW00024243,11.41,0.0,0.0,0.0,58.0,70.0,47.0,280.0,270.0,23.0,28.0,13589,162598,544.0,654,176187,7,0,5160,261.0,5421.0,4.81,SAFE
2020-04-23,USW00024157,10.51,0.0,0.0,0.0,49.0,63.0,42.0,250.0,260.0,25.1,30.0,13589,162598,544.0,654,176187,7,0,5160,261.0,5421.0,4.81,SAFE
2020-04-24,USW00024227,2.91,0.01,0.0,0.0,51.0,59.0,44.0,180.0,180.0,13.0,15.0,13933,169096,551.0,659,183029,5,0,6498,344.0,6842.0,5.03,SAFE
2020-04-24,USW00094240,4.47,0.11,0.0,0.0,49.0,58.0,45.0,200.0,180.0,13.0,19.9,13933,169096,551.0,659,183029,5,0,6498,344.0,6842.0,5.03,SAFE
2020-04-24,USW00094119,3.36,0.0,0.0,0.0,47.0,61.0,30.0,160.0,210.0,12.1,16.1,13933,169096,551.0,659,183029,5,0,6498,344.0,6842.0,5.03,SAFE
2020-04-24,USW00024141,5.82,0.0,0.0,0.0,55.0,68.0,40.0,190.0,230.0,15.0,21.9,13933,169096,551.0,659,183029,5,0,6498,344.0,6842.0,5.03,SAFE
2020-04-24,USW00024233,3.8,0.0,0.0,0.0,53.0,60.0,47.0,140.0,90.0,8.1,14.1,13933,169096,551.0,659,183029,5,0,6498,344.0,6842.0,5.03,SAFE
2020-04-24,USW00024243,5.14,0.0,0.0,0.0,56.0,70.0,43.0,170.0,190.0,16.1,21.0,13933,169096,551.0,659,183029,5,0,6498,344.0,6842.0,5.03,SAFE
2020-04-24,USW00024157,7.61,0.0,0.0,0.0,50.0,60.0,37.0,210.0,255.0,12.1,33.0,13933,169096,551.0,659,183029,5,0,6498,344.0,6842.0,5.03,SAFE
2020-04-25,USW00024227,8.72,0.36,0.0,0.0,54.0,61.0,43.0,230.0,220.0,21.9,29.1,14098,172290,455.0,665,186388,6,0,3194,165.0,3359.0,4.91,SAFE
2020-04-25,USW00094240,10.29,0.68,0.0,0.0,52.0,56.0,47.0,250.0,240.0,23.9,30.0,14098,172290,455.0,665,186388,6,0,3194,165.0,3359.0,4.91,SAFE
2020-04-25,USW00094119,8.05,0.09,0.0,0.0,49.0,62.0,34.0,230.0,240.0,28.0,34.0,14098,172290,455.0,665,186388,6,0,3194,165.0,3359.0,4.91,SAFE
2020-04-25,USW00024141,11.63,0.0,0.0,0.0,55.0,70.0,43.0,260.0,270.0,31.1,38.9,14098,172290,455.0,665,186388,6,0,3194,165.0,3359.0,4.91,SAFE
2020-04-25,USW00024233,11.63,0.59,0.0,0.0,56.0,62.0,49.0,230.0,230.0,23.0,32.0,14098,172290,455.0,665,186388,6,0,3194,165.0,3359.0,4.91,SAFE
2020-04-25,USW00024243,8.5,0.01,0.0,0.0,56.0,71.0,42.0,290.0,290.0,23.0,30.0,14098,172290,455.0,665,186388,6,0,3194,165.0,3359.0,4.91,SAFE
2020-04-25,USW00024157,13.65,0.03,0.0,0.0,53.0,63.0,44.0,230.0,250.0,30.0,36.0,14098,172290,455.0,665,186388,6,0,3194,165.0,3359.0,4.91,SAFE
