,DATE,AWND,TAVG,COVID_POS_PER,THREAT_LEVEL
540,2020-03-06,9.84,39.0,19.0,RISKY
237,2020-03-10,11.18,53.0,23.0,RISKY
549,2020-03-15,9.84,45.0,44.0,RISKY
400,2020-03-20,7.83,48.0,58.0,RISKY
570,2020-04-05,6.71,47.0,55.0,RISKY
442,2020-05-01,4.47,56.0,18.0,RISKY
98,2020-03-22,10.74,29.0,62.0,RISKY
514,2020-04-26,10.96,45.0,23.0,RISKY
328,2020-03-25,8.28,37.0,67.0,RISKY
643,2020-04-01,14.09,44.0,58.0,RISKY
360,2020-04-26,6.71,49.0,23.0,RISKY
558,2020-03-24,12.08,42.0,68.0,RISKY
499,2020-04-11,10.74,38.0,46.0,RISKY
652,2020-04-10,23.71,45.0,48.0,RISKY
18,2020-03-19,9.62,46.0,55.0,RISKY
168,2020-03-15,9.62,39.0,44.0,RISKY
397,2020-03-17,7.61,36.0,48.0,RISKY
511,2020-04-23,6.71,35.0,26.0,RISKY
182,2020-03-29,6.49,46.0,67.0,RISKY
124,2020-04-17,7.16,35.0,34.0,RISKY
332,2020-03-29,12.53,48.0,67.0,RISKY
138,2020-05-01,10.96,47.0,18.0,RISKY
123,2020-04-16,11.18,31.0,33.0,RISKY
557,2020-03-23,16.11,38.0,63.0,RISKY
271,2020-04-13,15.21,56.0,38.0,RISKY
214,2020-04-30,11.86,52.0,19.0,RISKY
344,2020-04-10,19.24,37.0,48.0,RISKY
407,2020-03-27,8.72,49.0,70.0,RISKY
466,2020-03-09,13.42,55.0,20.0,RISKY
412,2020-04-01,7.83,37.0,58.0,RISKY
173,2020-03-20,15.43,52.0,58.0,RISKY
543,2020-03-09,10.07,49.0,20.0,RISKY
174,2020-03-21,10.51,43.0,63.0,RISKY
285,2020-04-27,10.96,36.0,21.0,RISKY
131,2020-04-24,9.62,42.0,23.0,RISKY
22,2020-03-23,14.54,39.0,63.0,RISKY
440,2020-04-29,7.38,48.0,19.0,RISKY
270,2020-04-12,8.95,43.0,42.0,RISKY
116,2020-04-09,12.97,42.0,51.0,RISKY
273,2020-04-15,7.83,35.0,34.0,RISKY
624,2020-03-13,18.12,53.0,44.0,RISKY
246,2020-03-19,8.5,42.0,55.0,RISKY
552,2020-03-18,6.26,44.0,51.0,RISKY
89,2020-03-13,19.69,47.0,44.0,RISKY
192,2020-04-08,6.71,52.0,55.0,RISKY
639,2020-03-28,11.41,49.0,69.0,RISKY
256,2020-03-29,10.51,43.0,67.0,RISKY
436,2020-04-25,2.68,49.0,23.0,RISKY
51,2020-04-21,15.43,52.0,28.0,RISKY
640,2020-03-29,11.41,48.0,67.0,RISKY
118,2020-04-11,12.08,37.0,46.0,RISKY
503,2020-04-15,9.84,35.0,34.0,RISKY
650,2020-04-08,9.62,55.0,55.0,RISKY
275,2020-04-17,7.61,30.0,34.0,RISKY
26,2020-03-27,6.26,56.0,70.0,RISKY
14,2020-03-15,9.4,47.0,44.0,RISKY
82,2020-03-06,8.05,34.0,19.0,RISKY
342,2020-04-08,4.92,48.0,55.0,RISKY
162,2020-03-09,8.95,55.0,20.0,RISKY
95,2020-03-19,6.26,44.0,55.0,RISKY
208,2020-04-24,2.91,46.0,23.0,RISKY
284,2020-04-26,10.51,44.0,23.0,RISKY
592,2020-04-27,13.2,44.0,21.0,RISKY
353,2020-04-19,12.3,46.0,31.0,RISKY
9,2020-03-10,13.2,61.0,23.0,RISKY
30,2020-03-31,9.17,45.0,60.0,RISKY
2,2020-03-01,6.93,31.0,21.62,RISKY
556,2020-03-22,13.2,38.0,62.0,RISKY
421,2020-04-10,11.41,41.0,48.0,RISKY
334,2020-03-31,6.49,44.0,60.0,RISKY
197,2020-04-13,16.78,60.0,38.0,RISKY
392,2020-03-12,5.14,36.0,38.0,RISKY
37,2020-04-07,8.95,58.0,53.0,RISKY
510,2020-04-22,15.21,34.0,27.0,RISKY
122,2020-04-15,10.96,35.0,34.0,RISKY
438,2020-04-27,10.29,40.0,21.0,RISKY
38,2020-04-08,6.93,55.0,55.0,RISKY
517,2020-04-29,13.87,54.0,19.0,RISKY
261,2020-04-03,12.75,39.0,57.0,RISKY
402,2020-03-22,7.61,27.0,62.0,RISKY
52,2020-04-22,18.12,44.0,27.0,RISKY
179,2020-03-26,6.26,43.0,71.0,RISKY
102,2020-03-26,12.53,49.0,71.0,RISKY
574,2020-04-09,11.41,49.0,51.0,RISKY
563,2020-03-29,11.63,48.0,67.0,RISKY
184,2020-03-31,3.8,43.0,60.0,RISKY
467,2020-03-10,14.32,53.0,23.0,RISKY
566,2020-04-01,10.74,42.0,58.0,RISKY
359,2020-04-25,4.25,50.0,23.0,RISKY
583,2020-04-18,9.62,42.0,32.0,RISKY
29,2020-03-30,7.61,46.0,63.0,RISKY
39,2020-04-09,14.76,52.0,51.0,RISKY
504,2020-04-16,11.18,31.0,33.0,RISKY
658,2020-04-16,19.69,46.0,33.0,RISKY
635,2020-03-24,11.63,43.0,68.0,RISKY
409,2020-03-29,2.68,43.0,67.0,RISKY
394,2020-03-14,8.28,41.0,43.0,RISKY
346,2020-04-12,8.72,45.0,42.0,RISKY
575,2020-04-10,19.24,44.0,48.0,RISKY
386,2020-03-06,6.93,34.0,19.0,RISKY
286,2020-04-28,3.8,41.0,19.0,RISKY
283,2020-04-25,3.8,47.0,23.0,RISKY
60,2020-04-30,18.79,55.0,19.0,RISKY
673,2020-05-01,8.72,55.0,18.0,RISKY
435,2020-04-24,3.8,46.0,23.0,RISKY
463,2020-03-06,13.2,34.0,19.0,RISKY
564,2020-03-30,8.72,45.0,63.0,RISKY
395,2020-03-15,9.62,34.0,44.0,RISKY
211,2020-04-27,10.51,42.0,21.0,RISKY
469,2020-03-12,5.37,39.0,38.0,RISKY
262,2020-04-04,4.92,44.0,56.0,RISKY
3,2020-03-01,10.07,41.0,21.62,RISKY
496,2020-04-08,6.04,46.0,55.0,RISKY
99,2020-03-23,7.61,38.0,63.0,RISKY
487,2020-03-30,14.32,48.0,63.0,RISKY
4,2020-03-01,5.82,40.0,21.62,RISKY
263,2020-04-05,6.26,50.0,55.0,RISKY
483,2020-03-26,11.41,49.0,71.0,RISKY
578,2020-04-13,18.34,55.0,38.0,RISKY
6,2020-03-01,10.29,34.0,21.62,RISKY
644,2020-04-02,23.26,49.0,59.0,RISKY
313,2020-03-10,14.32,56.0,23.0,RISKY
623,2020-03-12,10.07,44.0,38.0,RISKY
190,2020-04-06,8.95,51.0,53.0,RISKY
568,2020-04-03,18.12,47.0,57.0,RISKY
659,2020-04-17,11.18,42.0,34.0,RISKY
546,2020-03-12,8.05,42.0,38.0,RISKY
41,2020-04-11,13.65,46.0,46.0,RISKY
204,2020-04-20,7.61,48.0,30.0,RISKY
595,2020-04-30,21.92,51.0,19.0,RISKY
576,2020-04-11,12.08,46.0,46.0,RISKY
111,2020-04-04,3.8,46.0,56.0,RISKY
243,2020-03-16,9.17,29.0,47.0,RISKY
584,2020-04-19,13.42,44.0,31.0,RISKY
186,2020-04-02,11.18,45.0,59.0,RISKY
586,2020-04-21,14.09,47.0,28.0,RISKY
331,2020-03-28,8.05,39.0,69.0,RISKY
648,2020-04-06,8.72,53.0,53.0,RISKY
101,2020-03-25,6.93,43.0,67.0,RISKY
629,2020-03-18,10.07,47.0,51.0,RISKY
